M, N, B, ALGO_NAME, RESULT, RUNNING_TIME
2, 10, 3.000000, PDP, 5.000000, 0.000384
2, 10, 3.000000, TABU, 1.000000, 0.031000
2, 10, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 3.000000, PDP, 7.000000, 0.000416
2, 10, 3.000000, TABU, 1.000000, 0.063000
2, 10, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 3.000000, PDP, 10.000000, 0.000385
2, 10, 3.000000, TABU, 1.100000, 0.031000
2, 10, 3.000000, TABU-RAND, 1.100000, 0.000000
2, 10, 3.000000, PDP, 9.000000, 0.000374
2, 10, 3.000000, TABU, 1.222222, 0.031000
2, 10, 3.000000, TABU-RAND, 1.222222, 0.000000
2, 10, 3.000000, PDP, 13.000000, 0.000396
2, 10, 3.000000, TABU, 1.076923, 0.032000
2, 10, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 3.000000, PDP, 17.000000, 0.000367
2, 10, 3.000000, TABU, 1.000000, 0.032000
2, 10, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 3.000000, PDP, 7.000000, 0.000384
2, 10, 3.000000, TABU, 1.000000, 0.047000
2, 10, 3.000000, TABU-RAND, 1.142857, 0.000000
2, 10, 5.000000, PDP, 13.000000, 0.000492
2, 10, 5.000000, TABU, 1.000000, 0.047000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 14.000000, 0.000302
2, 10, 5.000000, TABU, 1.000000, 0.031000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 8.000000, 0.000387
2, 10, 5.000000, TABU, 1.000000, 0.031000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 3.000000, 0.000336
2, 10, 5.000000, TABU, 1.000000, 0.031000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 9.000000, 0.000322
2, 10, 5.000000, TABU, 1.111111, 0.078000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 12.000000, 0.000692
2, 10, 5.000000, TABU, 1.000000, 0.032000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 4.000000, 0.000385
2, 10, 5.000000, TABU, 1.000000, 0.062000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 10.000000, 0.000340
2, 10, 5.000000, TABU, 1.000000, 0.062000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 15.000000, 0.000273
2, 10, 5.000000, TABU, 1.000000, 0.047000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 5.000000, PDP, 14.000000, 0.000291
2, 10, 5.000000, TABU, 1.000000, 0.047000
2, 10, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 4.000000, 0.000632
2, 10, 7.000000, TABU, 1.000000, 0.032000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 6.000000, 0.000361
2, 10, 7.000000, TABU, 1.000000, 0.031000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 14.000000, 0.000601
2, 10, 7.000000, TABU, 1.000000, 0.031000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 14.000000, 0.000477
2, 10, 7.000000, TABU, 1.000000, 0.031000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 16.000000, 0.000902
2, 10, 7.000000, TABU, 1.000000, 0.032000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 7.000000, 0.000648
2, 10, 7.000000, TABU, 1.000000, 0.032000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 18.000000, 0.000399
2, 10, 7.000000, TABU, 1.000000, 0.047000
2, 10, 7.000000, TABU-RAND, 1.111111, 0.000000
2, 10, 7.000000, PDP, 5.000000, 0.000404
2, 10, 7.000000, TABU, 1.000000, 0.047000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 10.000000, 0.000633
2, 10, 7.000000, TABU, 1.000000, 0.031000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 10, 7.000000, PDP, 11.000000, 0.000304
2, 10, 7.000000, TABU, 1.000000, 0.032000
2, 10, 7.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 3.000000, PDP, 7.000000, 0.001273
2, 12, 3.000000, TABU, 1.285714, 0.032000
2, 12, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 3.000000, PDP, 15.000000, 0.002519
2, 12, 3.000000, TABU, 1.000000, 0.046000
2, 12, 3.000000, TABU-RAND, 1.066667, 0.000000
2, 12, 3.000000, PDP, 14.000000, 0.001554
2, 12, 3.000000, TABU, 1.000000, 0.047000
2, 12, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 3.000000, PDP, 19.000000, 0.004710
2, 12, 3.000000, TABU, 1.000000, 0.047000
2, 12, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 3.000000, PDP, 10.000000, 0.002517
2, 12, 3.000000, TABU, 1.000000, 0.063000
2, 12, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 3.000000, PDP, 18.000000, 0.001945
2, 12, 3.000000, TABU, 1.000000, 0.063000
2, 12, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 3.000000, PDP, 8.000000, 0.001472
2, 12, 3.000000, TABU, 1.000000, 0.079000
2, 12, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 3.000000, PDP, 15.000000, 0.001970
2, 12, 3.000000, TABU, 1.000000, 0.047000
2, 12, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 3.000000, PDP, 7.000000, 0.002337
2, 12, 3.000000, TABU, 1.000000, 0.047000
2, 12, 3.000000, TABU-RAND, 1.285714, 0.000000
2, 12, 3.000000, PDP, 5.000000, 0.001456
2, 12, 3.000000, TABU, 1.000000, 0.047000
2, 12, 3.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 5.000000, PDP, 13.000000, 0.001825
2, 12, 5.000000, TABU, 1.000000, 0.078000
2, 12, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 5.000000, PDP, 17.000000, 0.001271
2, 12, 5.000000, TABU, 1.000000, 0.031000
2, 12, 5.000000, TABU-RAND, 1.000000, 0.000000
2, 12, 5.000000, PDP, 9.000000, 0.001305
2, 12, 5.000000, TABU, 1.000000, 0.032000
2, 12, 5.000000, TABU-RAND, 1.111111, 0.000000
2, 12, 5.000000, PDP, 4.000000, 0.001060
2, 12, 5.000000, TABU, 1.000000, 0.063000
2, 12, 5.000000, TABU-RAND, 1.500000, 0.000000
2, 12, 5.000000, PDP, 16.000000, 0.001900
2, 12, 5.000000, TABU, 1.000000, 0.094000
